Domain,Price,Venue
566.cc,$35,503,GoDaddy
kanav.com,$22,000,Afternic
marinaratimer.com,$21,350,GoDaddy
concert.org,$16,588,DropCatch
ai.ventures,$16,520,Afternic
off.org,$13,099,GoDaddy
tybeebubbags.com,$10,250,GoDaddy
loopgo.com,$9,899,Afternic
cornburyfestival.com,$9,501,GoDaddy
vacantes.com,$9,101,GoDaddy
pacbio.com,$8,000,DropCatch
join-real.com,$7,601,GoDaddy
lvll.com,$7,600,Park.io
1118.cc,$7,500,GoDaddy
qbell.com,$7,000,Afternic
twuffer.com,$6,544,Namecheap
safeandsoundpets.com,$6,501,GoDaddy
contrarian.org,$5,469,GoDaddy
midwestguest.com,$5,001,GoDaddy
rumor.io,$4,843,Atom.com
moneyfit.com,$4,102,DropCatch
spacespacespaceletter.com,$4,050,GoDaddy
agentictax.com,$3,999,Afternic
glowtexas.com,$3,950,GoDaddy
jeffmalpas.com,$3,938,GoDaddy
just1.com,$3,700,GoDaddy
argevansville.org,$3,638,GoDaddy
secureoffer.com,$3,151,GoDaddy
temex.com,$3,088,DropCatch
thatcutelittlecake.com,$3,061,GoDaddy
maxforums.org,$3,050,DropCatch
thewidely.com,$3,000,DropCatch
cambridgeanalytica.org,$2,850,Namecheap
hideoutai.com,$2,609,Atom.com
casadeemanuelitalian.com,$2,605,GoDaddy
aitu-iuta.org,$2,500,Namecheap
fattysorganicspirits.com,$2,340,GoDaddy
proximum.com,$2,250,DropCatch
johnnysmoneybar.com,$2,247,GoDaddy
icetowncarlsbad.com,$2,136,GoDaddy
hannovermesseusa.com,$2,135,GoDaddy
mg24h.com,$2,131,GoDaddy
fayuca-music.com,$2,100,GoDaddy
guillermoguiz.com,$2,100,DropCatch
companylending.com,$2,025,GoDaddy
wearebristle.com,$2,025,GoDaddy
upshyft.com,$1,999,Atom.com
maxdoutdonuts.com,$1,925,GoDaddy
around-the-world.com,$1,913,GoDaddy
dot-nxt.com,$1,913,GoDaddy
wijs.com,$1,900,DropCatch
nickfy.com,$1,875,GoDaddy
bezgluten.net,$1,850,Namecheap
tidewaterfamily.com,$1,825,GoDaddy
nug.ai,$1,802,Namecheap
kirkey.com,$1,775,Namecheap
perfomatix.com,$1,750,GoDaddy
powrs.xyz,$1,725,Dynadot
turismocuatro.com,$1,600,DropCatch
celebshistory.com,$1,575,Namecheap
ananda.ai,$1,553,Namecheap
schreibenhilfe.com,$1,525,Namecheap
rosinhoteljogja.com,$1,525,GoDaddy
ciifen-int.org,$1,502,DropCatch
immoving.com,$1,469,GoDaddy
wzzn.com,$1,435,GoDaddy
keygenstore.com,$1,425,Namecheap
roblechman.com,$1,413,GoDaddy
wlshoes.com,$1,408,Namecheap
freemanmazda.net,$1,325,GoDaddy
jetmind.com,$1,325,GoDaddy
scbr.com,$1,300,Park.io
namarva.com,$1,275,GoDaddy
livingplanet2013.org,$1,263,GoDaddy
theuncondemned.com,$1,255,GoDaddy
lushgardenandcafe.com,$1,247,GoDaddy
crepehousebrunch.com,$1,236,GoDaddy
sevensongsfarm.com,$1,225,Namecheap
walltowallwpg.com,$1,225,GoDaddy
auraair.com,$1,205,GoDaddy
truerepublic.com,$1,169,DropCatch
valuelodgealpine.com,$1,136,GoDaddy
jenkinsinstitute.org,$1,126,GoDaddy
stepinclinics.com,$1,105,GoDaddy
peanutfactorylofts.com,$1,075,GoDaddy
nbspolicyplatform.org,$1,050,DropCatch
planetamusica.net,$1,041,GoDaddy
fantasycrypto.com,$1,026,GoDaddy
wholesaleleathersupplier.com,$1,025,GoDaddy
ladyera.org,$1,025,GoDaddy
winningwithals.org,$1,025,GoDaddy
urgentcarestuttgart.com,$1,000,GoDaddy
flutejournal.com,$999,GoDaddy
brandoville.com,$955,GoDaddy
gustav-heinemann-schule.org,$951,DropCatch
henrysnyc.com,$950,DropCatch
joestowingny.com,$940,GoDaddy
rewired.ai,$930,Namecheap
documentop.com,$910,Namecheap
mkaleh.com,$910,Namecheap
franklinsquarepharmacy.com,$910,GoDaddy
hnav.com,$900,DropCatch
lawrencemenus.com,$898,GoDaddy
bsmsummit.com,$898,GoDaddy
petersenlawgroup.com,$870,GoDaddy
cemllaw.com,$870,GoDaddy
nphlm.org,$860,GoDaddy
evershineexports.com,$860,GoDaddy
pacificcrestneurology.com,$820,GoDaddy
vacationchoices.com,$817,GoDaddy
mywawavisitz.com,$810,Namecheap
hotel-regina-louvre.com,$810,Namecheap
skiers-lodge.eu.com,$810,Namecheap
ejustice.eu.com,$810,Namecheap
tatvida.com,$810,GoDaddy
handsonart4everyone.com,$810,GoDaddy
alraouche.com,$810,GoDaddy
moscatoismymantra.com,$810,GoDaddy
theashmoresblog.com,$808,GoDaddy
folsomsoftballclub.com,$800,DropCatch
fareguru.com,$788,GoDaddy
howtomammamia.com,$787,GoDaddy
modernfuture.com,$781,GoDaddy
physiciancoachsupport.com,$780,GoDaddy
ignitor.ai,$770,Namecheap
mosaichome.com,$765,GoDaddy
kamila.ai,$760,Namecheap
lascrucesmariachi.org,$760,GoDaddy
creatorbio.com,$751,GoDaddy
nextup.io,$730,GoDaddy
dom.us.com,$712,Namecheap
62restaurant.com,$711,Namecheap
yaprak-locksheath.com,$710,GoDaddy
redwoodtall.com,$700,Namecheap
lacasadeltoner.cl,$700,Catched.com
bohmy.com,$700,DropCatch
shortco.com,$685,Dynadot
novohealthcare.com,$666,GoDaddy
thefreshfridge.com,$665,GoDaddy
jumpgames.com,$660,GoDaddy
noticianorte.com,$650,DropCatch
teezo.com,$640,GoDaddy
lpm2024.com,$630,DropCatch
curvedspine.com,$621,GoDaddy
fallfestivalfortmyers.com,$610,GoDaddy
shotstop.com,$610,GoDaddy
kazantzakispublications.org,$610,GoDaddy
kidsklub.com,$602,GoDaddy
mccluernorthathletics.org,$600,GoDaddy
mainspringcg.com,$600,GoDaddy
hoverseen.com,$600,DropCatch
ebztrust.org,$598,GoDaddy
gasfactory.com,$590,GoDaddy
pophit.com,$589,GoDaddy
trinityepiscopalonline.org,$585,GoDaddy
directcoverage.com,$585,GoDaddy
antioxidant.io,$585,Park.io
mldtherapyandwellness.com,$570,GoDaddy
eyecancermd.org,$570,GoDaddy
cqao.com,$565,Dynadot
creators.tv,$565,Dynadot
pertinent.org,$565,DropCatch
xagenic.com,$551,DropCatch
thecorrectblogger.com,$550,DropCatch
kristinforharlem.com,$550,DropCatch
mytravel.io,$546,GoDaddy
aictechnologies.com,$545,GoDaddy
refugeeyouth.org,$540,GoDaddy
32327.com,$530,GoDaddy
alcrique.es,$520,Catched.com
cymx.com,$515,DropCatch
malamiafashionrestaurant.com,$510,GoDaddy
amazingtimlocksmith.com,$510,GoDaddy
restaurantbuon.com,$510,GoDaddy
expressoparts.com,$510,GoDaddy
sdamedicalcentreblr.com,$510,GoDaddy
stas.ai,$505,Namecheap
diocese-reunion.org,$505,Namecheap
vimusen.com,$505,Namecheap
restyler.ai,$505,Namecheap
lochleven.com,$504,GoDaddy
gave.io,$502,GoDaddy
plaintiff.app,$499,Afternic
letsbill.com,$482,GoDaddy
trustfusion.com,$480,DropCatch
sexualtrauma.com,$465,GoDaddy
whospy.com,$462,GoDaddy
heroesfirstfoundation.org,$460,GoDaddy
fileshare.org,$460,GoDaddy
reabus.com,$460,DropCatch
autostartwo.com,$455,GoDaddy
docsdna.com,$455,GoDaddy
hallhondahuntersville.com,$455,Dynadot
gofuckyourself.io,$455,Park.io
democracycenter.org,$449,GoDaddy
precisionfertility.com,$449,GoDaddy
trustful.net,$447,Dynadot
celebrationofcraftsmanship.com,$447,Dynadot
protectiontech.com,$445,GoDaddy
evoler.com,$445,GoDaddy
australianmortgage.com,$440,GoDaddy
samtechnologies.com,$425,GoDaddy
sunrisecafeusa.com,$423,GoDaddy
texasikon.com,$420,GoDaddy
hauntedrailtour.com,$413,GoDaddy
kanikamasushi.com,$410,GoDaddy
qadin.com,$410,DropCatch
consciousinnovation.com,$406,GoDaddy
tamilcalendars.com,$405,Namecheap
moozup.com,$405,GoDaddy
knewco.com,$404,Namecheap
saline.ai,$400,Namecheap
gettn.com,$400,GoDaddy
gameshout.com,$400,GoDaddy
kinbar.com,$382,GoDaddy
theedgesport.cl,$380,Catched.com
fourthgrade.com,$380,DropCatch
mindtales.com,$376,GoDaddy
226poker.com,$375,Dynadot
ontoedit.com,$365,Namecheap
insomniacmania.com,$365,GoDaddy
evolvemobilemovement.com,$364,GoDaddy
26barsandaband.com,$363,DropCatch
geeksforharris.org,$360,GoDaddy
indoai.com,$360,GoDaddy
whalesforever.com,$360,GoDaddy
buyerspond.com,$360,GoDaddy
fureur.org,$360,DropCatch
goldenchip.com,$360,DropCatch
criminallawyerinedmonton.com,$355,GoDaddy
kayserikapadokya.com,$355,GoDaddy
marrakechimmo.com,$355,GoDaddy
webglstudio.org,$353,DropCatch
luxurytrendingmagazine.com,$349,Namecheap
sportscenteryakima.com,$342,Dynadot
talkslots.com,$340,GoDaddy
infinityforest.com,$331,GoDaddy
beardedladytattooparlor.com,$330,GoDaddy
lage.org,$328,DropCatch
truewayssurvival.com,$327,GoDaddy
hillstown.com,$327,GoDaddy
newslotgames.com,$325,GoDaddy
hoteldev.com,$324,DropCatch
surewinhealthcare.com,$320,GoDaddy
yannisidaho.com,$320,GoDaddy
025.ai,$315,Namecheap
loadpaper.com,$315,GoDaddy
choicematch.com,$314,GoDaddy
etfswappresale.com,$310,Dynadot
guntruck.com,$306,GoDaddy
yogawithkatrina.com,$305,Namecheap
ilchianti.wine,$305,Namecheap
masicbeauty.com,$305,Namecheap
izrekeicitati.net,$305,Namecheap
retivabet.com,$305,GoDaddy
cafesweetsbakeryfl.com,$305,GoDaddy
lapumia.net,$305,Dynadot
kvnpharmacy.com,$305,GoDaddy
parieurs-sportifs.com,$305,GoDaddy
artisttents.com,$305,GoDaddy
pixelsandpills.com,$305,GoDaddy
adhesivetheater.com,$305,GoDaddy
volomuseum-tickets.com,$305,GoDaddy
bncom.com,$296,GoDaddy
arinfographic.net,$293,GoDaddy
kaleskitchen.com,$293,GoDaddy
rajatender.com,$293,GoDaddy
puregrowthorganic.com,$290,Namecheap
meditationscience.com,$290,GoDaddy
travelnights.com,$290,GoDaddy
theleadbellynyc.com,$288,GoDaddy
ulstercancer.org,$285,GoDaddy
cimitero.com,$284,DropCatch
saludonline.com,$280,GoDaddy
fuoye-jmie.com,$280,DropCatch
popin.ai,$274,Namecheap
bqr.ai,$274,Namecheap
pepa.io,$274,Sav.com
footforum.com,$272,GoDaddy
bookmovers.com,$272,GoDaddy
2222ks.com,$271,GoDaddy
tecnomente.net,$271,GoDaddy
skaggschiro.com,$270,GoDaddy
drjohnremembers.com,$270,DropCatch
iwaw.net,$270,DropCatch
zuneoriginals.net,$270,DropCatch
hokigames.com,$267,GoDaddy
av8898.com,$266,GoDaddy
seaphantom.com,$265,GoDaddy
besteckkistl.at,$265,Catched.com
cuberealm.com,$264,Namecheap
refineddynamics.com,$264,DropCatch
stephanieroseknows.com,$263,GoDaddy
allhindi100.com,$261,GoDaddy
uniquekville.com,$260,Namecheap
dejoule.com,$256,GoDaddy
wearefun.com,$256,GoDaddy
falcontitle.com,$256,GoDaddy
solidatum.com,$255,Namecheap
popularslots.com,$255,GoDaddy
neezr.com,$255,GoDaddy
bb15.com,$255,GoDaddy
britanniamedical.com,$254,GoDaddy
vikingeducation.com,$248,GoDaddy
medicalr.com,$246,GoDaddy
qbrains.com,$245,GoDaddy
communityhr.com,$241,GoDaddy
urticket.com,$240,DropCatch
702.ai,$238,Namecheap
nightbazaarplace.com,$235,GoDaddy
589666.com,$235,GoDaddy
lilyservices.com,$231,GoDaddy
cash4scrap.com,$230,GoDaddy
sourcerai.com,$230,GoDaddy
fishingevents.com,$230,GoDaddy
peelart.com,$230,GoDaddy
kanmar.com,$230,GoDaddy
byfold.com,$227,GoDaddy
thebridgewater.com,$227,GoDaddy
scg-ltd.com,$225,Namecheap
murobeachclub.es,$225,Catched.com
letsgotrip.com,$224,DropCatch
naturalefestival.com,$223,DropCatch
virivky.com,$221,GoDaddy
clearpointconsulting.com,$221,GoDaddy
ageguess.org,$220,DropCatch
zylur.com,$218,GoDaddy
faststick.com,$216,GoDaddy
synapselighting.com,$216,GoDaddy
hmsfriday.com,$215,GoDaddy
mrleffsclass.com,$215,GoDaddy
yearstogo.com,$214,GoDaddy
saltandpeppermeals.com,$211,GoDaddy
faka.ai,$206,Namecheap
presenters.ai,$205,Namecheap
travaux-publics.org,$205,Namecheap
pdnwlomboktengah.com,$205,GoDaddy
therehabworld.com,$205,GoDaddy
beijingchinesefoodpa.com,$205,GoDaddy
casalit.com,$205,GoDaddy
guatemalaleaks.org,$205,GoDaddy
goldeum.com,$204,DropCatch
watchgenie.com,$203,Namecheap
fuxingkitchen.com,$203,GoDaddy
canadawalk.com,$202,GoDaddy
9003.tv,$201,GoDaddy
9005.tv,$201,GoDaddy
beaconwave.com,$201,GoDaddy
bezalelministries.com,$200,Afternic
spotifypremium.org,$200,Dynadot
cincinnatibirds.com,$200,DropCatch
urkom.com,$199,DropCatch
advancedalloysinc.com,$192,GoDaddy
lawyer-in-chinese.com,$191,DropCatch
bases.app,$190,Sav.com
wheresgarcetti.com,$185,Namecheap
flightschoolbakersfield.com,$185,GoDaddy
mitmenschen.com,$184,DropCatch
goldydrops.com,$181,GoDaddy
easyfreeware.com,$179,DropCatch
radioela.org,$179,DropCatch
ideaconference.org,$179,DropCatch
kakashimina.com,$178,GoDaddy
mariakhalusova.com,$175,Namecheap
mycardata.com,$175,GoDaddy
britsabroad.com,$175,Dynadot
mejorespanes.com,$175,DropCatch
thehighlinegroup.com,$170,GoDaddy
blogalvina.com,$169,GoDaddy
mrkorai.com,$168,GoDaddy
mmjthc.com,$166,GoDaddy
wsvy.com,$166,DropCatch
atlcolumbus.com,$165,GoDaddy
rapidcityconcrete.com,$165,GoDaddy
azquantum.com,$165,Dynadot
cripeweb.org,$165,GoDaddy
bentleydental.com,$165,GoDaddy
retranscription.com,$164,DropCatch
optworld.com,$164,DropCatch
9002.tv,$161,GoDaddy
gatetraining.com,$160,GoDaddy
eoxelectric.com,$160,GoDaddy
westcoco.com,$159,GoDaddy
mountainpropane.com,$159,DropCatch
idiotdriver.com,$156,GoDaddy
digitalsweat.com,$155,GoDaddy
5111.org,$155,GoDaddy
jooof.com,$155,GoDaddy
reentryandhousing.org,$155,GoDaddy
brisco.net,$155,Dynadot
fdd.xyz,$155,GoDaddy
calumetfurnitureinc.com,$155,GoDaddy
enterate24.com,$155,Dynadot
bluefirebanyuwangi.com,$155,GoDaddy
blingwheel.com,$155,GoDaddy
swapandgo.co,$155,GoDaddy
flagshipone.com,$154,GoDaddy
redshort.com,$154,DropCatch
vanbaerlehorloges.nl,$152,Catched.com
1see.com,$152,Dynadot
partyonrental.com,$151,GoDaddy
doky.ai,$150,Namecheap
momthing.com,$150,GoDaddy
favoritedisposablesbrand.com,$150,GoDaddy
ourancestors.org,$146,DropCatch
thehealthedge.com,$145,Namecheap
billmill.com,$145,GoDaddy
tufbar.com,$145,GoDaddy
heyadvise.com,$145,GoDaddy
makeanymanloveyou.com,$143,GoDaddy
kf199.com,$143,GoDaddy
reddy.xyz,$142,Sav.com
mjdetailsgb.com,$140,GoDaddy
igorborovikov.com,$140,GoDaddy
fizikagroup.com,$139,GoDaddy
ludicrous.ai,$138,Namecheap
modernslots.com,$138,GoDaddy
treks.ai,$136,Namecheap
chimp.me,$136,GoDaddy
exshincheonji.com,$135,GoDaddy
9007.tv,$134,GoDaddy
makingtravel.com,$133,GoDaddy
laitha.com,$132,GoDaddy
threadmuse.com,$132,DropCatch
computius.com,$132,DropCatch
mindbodyjoy.com,$131,GoDaddy
mgmglobal.com,$130,Namecheap
atomicliquor.com,$130,GoDaddy
communionofsaints.com,$130,GoDaddy
turisimorocks.com,$130,GoDaddy
33980.com,$130,GoDaddy
stermed.com,$130,DropCatch
axeson.com,$129,GoDaddy
zengetaway.com,$128,GoDaddy
usamilitarybenefits.com,$127,GoDaddy
usedvehicleforsale.com,$126,DropCatch
bocostrong.org,$125,Namecheap
steelvina.com,$125,GoDaddy
chandlerfencecompany.com,$125,GoDaddy
mailtheory.com,$124,GoDaddy
crustyboys.com,$124,GoDaddy
kanjiru.com,$124,DropCatch
forpath.com,$124,DropCatch
suicidioprevencion.com,$123,Namecheap
broubruschetteria.com,$123,GoDaddy
lovesong.org,$121,Namecheap
dosethc.com,$121,GoDaddy
elskan.com,$121,DropCatch
payoffyourhome.com,$120,GoDaddy
crushtown.com,$120,GoDaddy
elderlyfriends.com,$119,GoDaddy
tacticalize.com,$119,GoDaddy
sedeq.com,$118,GoDaddy
bloomproduct.com,$116,GoDaddy
coinxa.com,$116,GoDaddy
gadgeterbaru.com,$115,Namecheap
blaroken.com,$115,Namecheap
pacrivers.org,$115,Namecheap
alienchicken.com,$115,GoDaddy
fairtunes.com,$115,GoDaddy
polarstudios.com,$115,Dynadot
aksenprofit.com,$115,GoDaddy
weedpreneur.com,$115,GoDaddy
mydrone.org,$114,GoDaddy
kingsnursery.com,$114,DropCatch
ocdintensive.com,$113,GoDaddy
hoodpranks.com,$111,GoDaddy
scalable-ai.com,$111,GoDaddy
usepressbox.com,$111,DropCatch
twocomic.com,$110,GoDaddy
humanskind.com,$110,DropCatch
thewinchesterroom.com,$106,GoDaddy
ergohelmets.com,$106,GoDaddy
nwlincs.org,$105,GoDaddy
coinfig.com,$105,GoDaddy
purneauniversity.org,$105,Dynadot
deepwokenbuilder.com,$105,GoDaddy
progettomast.org,$105,GoDaddy
guidedpets.com,$105,GoDaddy
plazasuite.com,$105,Dynadot
bananabell-piercing.ch,$105,Catched.com
supermommytotherescue.com,$105,GoDaddy
agrawalhospitalraipur.com,$105,GoDaddy
ageofthesun.com,$105,GoDaddy
apollobranding.com,$104,GoDaddy
poleconcept.com,$104,DropCatch
mysavings.org,$104,DropCatch
networthinside.com,$103,Namecheap
brightwhiteskin.com,$103,Namecheap
tlcphotosmiami.com,$103,GoDaddy
saddlemedia.com,$102,Namecheap
totalcaredentist.com,$102,Sav.com
laborforce.org,$102,GoDaddy
easydecisionmakers.com,$101,GoDaddy
katydidandkid.com,$101,DropCatch
upvote-bell.com,$100,Namecheap
electric-vibes.com,$100,GoDaddy
theluxedrift.com,$100,GoDaddy
aircraftmusiclibrary.com,$100,GoDaddy
cosenzaturismo.com,$100,GoDaddy
cartersflowersandfruit.com,$100,GoDaddy
pubbellysushi.com,$100,GoDaddy
bankfinancialsolutions.com,$100,GoDaddy
ushuaia.info,$100,Spaceship.com
