Domain,Price,Venue
"2h.com","$115,000",Sedo
"ope.com","$58,050",GoDaddy
"boats.co","$40,000","DomainMarket.com"
"jge.com","$29,500",GoDaddy
"southafrica.info","$21,805",GoDaddy
"xtremeplus.com","$14,888","DomainMarket.com"
"teamherschel.com","$13,250",GoDaddy
"mhautah.org","$12,250",GoDaddy
"greatamerica.net","$8,500",DropCatch
"myvalue.com","$8,202",DropCatch
"flutin.com","$7,100",GoDaddy
"warriornun.com","$5,988",GoDaddy
"rumbatime.com","$5,900",GoDaddy
"stablefi.org","$5,250",Afternic
"durhamrealestate.org","$5,100",GoDaddy
"7dfps.com","$5,005",DropCatch
"guestsociety.com","$4,949","Spaceship.com"
"mingolanguage.org","$4,550",Namecheap
"aubergelafascine.com","$4,328",GoDaddy
"dykancoin.io","$4,050",GoDaddy
"scienceindiafest.org","$3,716",GoDaddy
"theloosechequers.com","$3,570",GoDaddy
"uclacbam.org","$3,550",GoDaddy
"jimersoncobb.com","$3,550",GoDaddy
"pitterpatterfelinerescue.org","$3,350",GoDaddy
"travelingspiceco.com","$3,280",GoDaddy
"qualitysystem.com","$3,198",DropCatch
"porchgalleryojai.com","$3,125",GoDaddy
"metronomhealth.com","$3,106",GoDaddy
"purshcollection.com","$3,050",GoDaddy
"nataliehodson.com","$3,050",GoDaddy
"connectingkidsnv.org","$3,050",GoDaddy
"cbddosagecalculator.com","$3,050",GoDaddy
"langcraft.com","$3,000",Afternic
"angelchickenkitchen.com","$2,938",GoDaddy
"alquora.com","$2,865","Atom.com"
"pilotstogether.org","$2,550",GoDaddy
"nanaheals.com","$2,525",Namecheap
"athenasd.org","$2,525",Namecheap
"santafefoods.com","$2,500",Afternic
"sacreblue.org","$2,500",Namecheap
"rarebitcoin.com","$2,488",Afternic
"saddleonline.com","$2,450",GoDaddy
"sanctuarynotdeportation.org","$2,322",DropCatch
"klowdenmann.com","$2,315",GoDaddy
"cultivator.ai","$2,205",Namecheap
"academyplus.com","$2,200",DropCatch
"hopebeyondhell.net","$2,175",GoDaddy
"tecnoculto.com","$2,108",DropCatch
"rident.com","$2,101",GoDaddy
"seedsforthefutureturkiye.com","$2,100",DropCatch
"hookandlinebos.com","$2,100",GoDaddy
"livinginthegap.org","$2,025",Namecheap
"alaskaberries.com","$2,025",GoDaddy
"hashrush.com","$2,001",GoDaddy
"mayabeauty.com","$1,990",GoDaddy
"considerthefork.com","$1,951",GoDaddy
"legendsrealestateschool.com","$1,900",GoDaddy
"littlecreeklodge.net","$1,875",GoDaddy
"donasd.com","$1,725",GoDaddy
"estesparkedc.com","$1,600",GoDaddy
"chliv.com","$1,586",GoDaddy
"africahousehotel.com","$1,580",GoDaddy
"leesfc.com","$1,555",Namecheap
"renfest.com","$1,525",GoDaddy
"ipayweb.org","$1,525",GoDaddy
"emprendedespierto.com","$1,525",GoDaddy
"acakecreations.com","$1,525",GoDaddy
"thenewsglory.com","$1,501",GoDaddy
"handymanjobs.com","$1,500",DropCatch
"sportsmoney.com","$1,459",GoDaddy
"yakinikuhiroki.com","$1,425",GoDaddy
"investandgrow.com","$1,390",GoDaddy
"boundaryrd.com","$1,353",GoDaddy
"silverstringsfoods.com","$1,350",GoDaddy
"vxvymentalhealth.com","$1,345",GoDaddy
"parthmomaya.com","$1,325",GoDaddy
"brooklynpizzaspot.com","$1,325",GoDaddy
"jicestates.com","$1,300",DropCatch
"dawakhana.com","$1,275",GoDaddy
"lucasforums.com","$1,269",GoDaddy
"nana-turopathe.com","$1,259",DropCatch
"kpopfoods.com","$1,255",GoDaddy
"nearly.ai","$1,247",Namecheap
"yahooapms.com","$1,225",GoDaddy
"veteransaidgrants.org","$1,225",GoDaddy
"mindfulmatterskailua.com","$1,225",Namecheap
"bestwesternoakbrookinn.com","$1,222",GoDaddy
"laligalowdown.com","$1,211",GoDaddy
"moonhodl.com","$1,200",Afternic
"honacbd.com","$1,150",Namecheap
"ksenseco.com","$1,145",GoDaddy
"blackforpalestine.com","$1,130",Dynadot
"moscow-russia-insiders-guide.com","$1,126",GoDaddy
"continulus.com","$1,126",GoDaddy
"audubonchapterofminneapolis.org","$1,126",GoDaddy
"leonware.com","$1,100",DropCatch
"brightnewworld.org","$1,100",GoDaddy
"marketbar.com","$1,080",GoDaddy
"tesse.io","$1,025",GoDaddy
"pkfoodmenu.com","$1,010",Namecheap
"eldestape.cl","$1,010","Catched.com"
"economictheories.org","$1,010",Namecheap
"delightfulfood.com","$1,009",GoDaddy
"lifecompassblog.com","$1,000",GoDaddy
"7yp.com","$1,000",GoDaddy
"autolabs.org","$999","Spaceship.com"
"igoulburn.com","$950",DropCatch
"fishfinderhub.com","$930",Namecheap
"monashee.com","$919",DropCatch
"tpn.eu.com","$910",Namecheap
"olo.cn.com","$910",Namecheap
"ngms.eu.com","$910",Namecheap
"eservice.eu.com","$910",Namecheap
"c-power.eu.com","$910",Namecheap
"art24seven.eu.com","$910",Namecheap
"thinkindia.com","$909",GoDaddy
"scmguide.com","$898",GoDaddy
"parishostel.com","$898",Afternic
"oneisok.com","$898",GoDaddy
"interiormotif.com","$898",GoDaddy
"cagecombatacademy.com","$898",GoDaddy
"misterdonut.org","$897",Namecheap
"renovation.eu.com","$870",Namecheap
"friedsfamilyrestaurant.com","$870",GoDaddy
"grupostelegrams.com","$861",GoDaddy
"techguidee.com","$860",Namecheap
"hiddenedinburgh.net","$860",GoDaddy
"5starreview.com","$851",GoDaddy
"casperhomes.com","$825",GoDaddy
"jauna.com","$823",GoDaddy
"climateinc.com","$819",GoDaddy
"ambassadorhotelsantorini.com","$813",DropCatch
"chinammm.cn.com","$812",Namecheap
"theapplestation.com","$810",Dynadot
"perfect.eu.com","$810",Namecheap
"musiclandia.eu.com","$810",Namecheap
"mexicoheadhunters.com","$810",GoDaddy
"idrivenapaandsonoma.com","$810",GoDaddy
"fitzgeraldscatering.com","$810",GoDaddy
"bangerbrewing.com","$810",GoDaddy
"aea.ai","$810",Namecheap
"townofeastnewmarket.org","$809",Namecheap
"sapiens.io","$809",GoDaddy
"katia.ai","$790",Namecheap
"bluebench.com","$788",Dynadot
"legaladvicejournal.com","$787",GoDaddy
"kittensandbarbells.org","$787",GoDaddy
"grapedeals.com","$787",GoDaddy
"golfcourse.ai","$787",Namecheap
"larmoirenewcanaan.com","$779",GoDaddy
"saveourhome.com","$770",GoDaddy
"theracloud.com","$765",GoDaddy
"ponus.com","$760",GoDaddy
"sscollegespn.org","$750",DropCatch
"electraproject.org","$750",DropCatch
"lovesmokinjoes.com","$735",GoDaddy
"ariyoshi.com","$726",GoDaddy
"scitech.ai","$721",Namecheap
"sellocomerciojusto.org","$720",GoDaddy
"nmbvm.org","$720",GoDaddy
"ibomma.app","$705",Namecheap
"labine.com","$675",DropCatch
"bamgermanbakery.com","$670",GoDaddy
"quartile.ai","$660",Namecheap
"presuntoculpable.org","$660",GoDaddy
"loi-d-attraction.com","$660",GoDaddy
"arquitectodeguardia.com","$641",Namecheap
"pod.studio","$636",GoDaddy
"bocadoperu.com","$630",GoDaddy
"imposta.com","$620",GoDaddy
"rapidequity.com","$615",GoDaddy
"tvakskinclinic.com","$611",GoDaddy
"dbrunique.com","$611",GoDaddy
"thewildlifejewelry.com","$610",GoDaddy
"olympichealth.com","$605",DropCatch
"fly-skyrunner.com","$600",Namecheap
"stealthsecurity.sh","$566",Namecheap
"therowdyhound.com","$565",GoDaddy
"savemyoceans.com","$565",GoDaddy
"nutritionexp.com","$565",Namecheap
"eagleschoolsoh.org","$565",GoDaddy
"host.chat","$560",Namecheap
"ahafoodcourt.com","$555",GoDaddy
"korada.com","$550",GoDaddy
"gpgcnarayannagar.org","$550",DropCatch
"foreclosurestoppers.com","$546",GoDaddy
"barakahmoneytransfer.com","$545",GoDaddy
"6labs.com","$544",Namecheap
"thehouseofhealth.com","$540",GoDaddy
"chargeease.com","$521",GoDaddy
"antiracisted.org","$519",DropCatch
"winfieldspubtogo.com","$518",GoDaddy
"rocksceneauctions.com","$510",GoDaddy
"optimalmedicine.com","$510",GoDaddy
"toxicolres.org","$508",DropCatch
"spiele.ai","$505",Namecheap
"mazorca.com","$500",DropCatch
"hotbirdoakland.com","$500",Namecheap
"digitalnomadworld.com","$500",Afternic
"awesome.tools","$500",Afternic
"kumantong-thaiamulets.com","$495",GoDaddy
"traderpulse.com","$486",GoDaddy
"statedesign.com","$485",GoDaddy
"trabajalia.com","$483",DropCatch
"jetping.com","$476",GoDaddy
"lwa-arts.org","$475",GoDaddy
"kdwellness.com","$466",GoDaddy
"agroforestry2022.org","$464",DropCatch
"winterscape.com","$460",GoDaddy
"starcommunication.com","$459",GoDaddy
"spccsp.com","$455",GoDaddy
"reshell.com","$444",GoDaddy
"cleek.ai","$444",Namecheap
"arrested.ai","$444",Namecheap
"labourmatters.com","$440",DropCatch
"hotel-bordeaux-saint-jean.com","$440",DropCatch
"eirtech.com","$440",DropCatch
"valleywell.com","$422",GoDaddy
"renovaction.com","$420",DropCatch
"reflect-action.org","$420",DropCatch
"motivateroi.com","$420",DropCatch
"downeyhomes.com","$419",GoDaddy
"sharetext.me","$415",Dynadot
"beyondthecourt.com","$411",GoDaddy
"openpass.ai","$408",Namecheap
"designbuffet.com","$408",GoDaddy
"vacation.ly","$406","Park.io"
"tropical-treehouse.com","$405",GoDaddy
"ezbible.org","$405",GoDaddy
"drakehoodie.com","$405",GoDaddy
"doggydeli.com","$405",GoDaddy
"braosa.com","$405",GoDaddy
"blogchamps.com","$405",Namecheap
"spaceplayground.com","$404",GoDaddy
"dancarey.com","$404",GoDaddy
"wizy.ai","$400",Namecheap
"uttr.ai","$400",Namecheap
"travelmoney.ai","$400",Namecheap
"pptvm.com","$400",Namecheap
"intergencommission.org","$400",DropCatch
"futurewise.ai","$400",Namecheap
"banyantree.ai","$400",Namecheap
"equibot.com","$391",GoDaddy
"cornish.net","$391",GoDaddy
"smwhistoricdistrict.org","$390",GoDaddy
"adityasweets.com","$390",GoDaddy
"medicplaza.com","$388",DropCatch
"gqkhanmd.com","$385",GoDaddy
"americanguide.com","$385",GoDaddy
"blushrose.com","$381",GoDaddy
"cfeapps.com","$380",DropCatch
"indieranger.com","$373",DropCatch
"werooms.com","$372",GoDaddy
"lacoiffurecarmel.com","$372",Namecheap
"clubwing.com","$368",GoDaddy
"scottblack.com","$366",GoDaddy
"becup.com","$366",GoDaddy
"addaddy.com","$363",GoDaddy
"hopepass.com","$360",Namecheap
"wsaworldtour.com","$355",GoDaddy
"thesandwichscene.com","$355",GoDaddy
"thecasinomagazine.com","$355",GoDaddy
"sushidiner1.com","$355",GoDaddy
"driveandridecs.com","$355",Namecheap
"deepdishpizzaelpaso.com","$355",GoDaddy
"cubecash.com","$355",GoDaddy
"coffeeattiffanis.com","$355",GoDaddy
"coatingsolution.com","$355",GoDaddy
"starsweb.com","$353",DropCatch
"kimtan.com","$351",GoDaddy
"sparkz.ai","$350",Namecheap
"gamesbandy.com","$340",DropCatch
"maktic.com","$339",DropCatch
"arquimedesllorens.com","$338",Namecheap
"buyimpossible.com","$336",GoDaddy
"spiegellabyrinth.com","$335",DropCatch
"dant.ai","$333",Namecheap
"crownelectronics.com","$333",GoDaddy
"akuv.com","$330",GoDaddy
"vhorse.com","$329",DropCatch
"thedds.com","$327",GoDaddy
"zilvy.com","$325",DropCatch
"amazeballsrecipes.com","$325",Namecheap
"appintel.com","$324",DropCatch
"gibbonslacklines.com","$320",DropCatch
"retrocatape.com","$318",GoDaddy
"abudo.com","$314",GoDaddy
"cavvo.com","$313",GoDaddy
"vmcy.com","$312",GoDaddy
"stack.group","$310",Namecheap
"familylevel.com","$310",GoDaddy
"csi.eu.com","$307",Namecheap
"queerdating.com","$306",GoDaddy
"atizan.com","$306",GoDaddy
"wee3.com","$305",GoDaddy
"unaricareceta.com","$305",Namecheap
"truecs.com","$305",GoDaddy
"sleepwalkwithmike.com","$305",GoDaddy
"messengergenie.com","$305",Namecheap
"maxala.org","$305",Namecheap
"lightlikethepros.com","$305",GoDaddy
"joaqui.pe","$305","Catched.com"
"homejamesglobal.com","$305",GoDaddy
"fabulousfloorscleveland.com","$305",Namecheap
"cryptocounty.com","$305",GoDaddy
"claude-hoppers.com","$305",GoDaddy
"bouddhisme-zen.com","$305",GoDaddy
"smartshijingshan.com","$304",DropCatch
"hnssnsyh.com","$304",DropCatch
"hnctsl.com","$304",DropCatch
"cnc-st.com","$304",DropCatch
"makar2makar.com","$302",DropCatch
"xworld.net","$301",GoDaddy
"mcann.com","$301",DropCatch
"becomeyourbestself.com","$301",GoDaddy
"peterspizzaanddeli.com","$293",GoDaddy
"paniaguamotors.com","$290",GoDaddy
"velavie.com","$286",GoDaddy
"bentiron.com","$286",DropCatch
"spring-blossoms.com","$285",GoDaddy
"fandomverse.com","$285",GoDaddy
"coronadoshoresrealestate.com","$285",DropCatch
"aicootek.com","$284",DropCatch
"knowster.com","$282",GoDaddy
"schoeneckhotel.com","$280",GoDaddy
"miio.org","$280",DropCatch
"washub.com","$271",GoDaddy
"timetitan.com","$270",GoDaddy
"agroassist.com","$270",DropCatch
"famousenough.com","$269",GoDaddy
"aradar.com","$269",GoDaddy
"sexgayjapan.com","$268",GoDaddy
"oleoo.com","$267",GoDaddy
"workshopgroup.com","$266",GoDaddy
"itacgroup.com","$266",GoDaddy
"openmarriages.com","$265",GoDaddy
"landsharkkennelcompany.com","$265",GoDaddy
"everything-entrepreneur.com","$265",GoDaddy
"therianthropy.org","$263",Namecheap
"onestopmotors.com","$263",GoDaddy
"taksimrealestate.com","$261",GoDaddy
"carrepairintown.com","$261",GoDaddy
"theoutpostretreat.com","$260",GoDaddy
"shipanycar.com","$260",GoDaddy
"pintobeantx.com","$260",GoDaddy
"pcjasiapacific.com","$260",GoDaddy
"ichibantx.com","$260",GoDaddy
"elpalmarcocina.com","$260",GoDaddy
"collabrh.org","$260",GoDaddy
"clairrow.com","$260",GoDaddy
"buriedaboveground.tv","$260",GoDaddy
"teamajt.com","$255",GoDaddy
"payscroll.com","$255",GoDaddy
"monkeyworks.org","$255",GoDaddy
"hyphenate.ai","$255",Namecheap
"helplinehub.org","$255",GoDaddy
"healthypassion.com","$255",GoDaddy
"berbercarpetbible.com","$255",Namecheap
"nengx.com","$254",GoDaddy
"pulseable.com","$252",GoDaddy
"koatree.com","$252",GoDaddy
"innovationunleashed.com","$252",GoDaddy
"cryptoannuity.com","$251",GoDaddy
"porthos.ai","$250",Namecheap
"nysinsurance.com","$249",GoDaddy
"mrbollywood.com","$248",GoDaddy
"one14.com","$246",GoDaddy
"myefl.com","$245",GoDaddy
"pulo-fitness.com","$244",DropCatch
"corruptionandhumanrights.org","$242",DropCatch
"ashmon.com","$241",GoDaddy
"toothkind.com","$240",GoDaddy
"tokinotayori.com","$240",GoDaddy
"boligo.com","$240",DropCatch
"alttex.com","$238",Namecheap
"mrcrisp.com","$231",GoDaddy
"greatwallgroup.com","$231",GoDaddy
"ipod.ai","$230",Namecheap
"ifpd.info","$230",GoDaddy
"freebud.com","$230",GoDaddy
"energybicycle.com","$230",GoDaddy
"westgeorgiastar.org","$227",GoDaddy
"radiorocola.com","$227",GoDaddy
"qcem.com","$227",GoDaddy
"picketnews.com","$227",GoDaddy
"adian.ai","$227",Namecheap
"prestosecurity.com","$226",GoDaddy
"fprisk.com","$226",GoDaddy
"twinpinemotel.com","$225",GoDaddy
"jorgerucco.com","$225",GoDaddy
"itskilling.com","$225",GoDaddy
"insurbot.com","$225",GoDaddy
"babyayurveda.com","$225",GoDaddy
"drinknews.com","$224",DropCatch
"azplast.com","$223",GoDaddy
"voxpharma.com","$221",GoDaddy
"richesloan.com","$221",GoDaddy
"mymagictank.com","$221",DropCatch
"heir.xyz","$221",Dynadot
"calderaconstruction.com","$221",GoDaddy
"museodelvinodenavarra.com","$220",DropCatch
"huntcircle.com","$219",GoDaddy
"feelinggroup.com","$219",GoDaddy
"bicycleexperts.com","$216",GoDaddy
"w5win.com","$215",GoDaddy
"phukettransport.com","$215",GoDaddy
"parivartanayurveda.com","$211",GoDaddy
"zanzicar.com","$209",DropCatch
"lot15.com","$206",GoDaddy
"ayafashion.com","$206",GoDaddy
"wagnerparts.com","$205",GoDaddy
"universite-si.org","$205",Namecheap
"tindari.org","$205",GoDaddy
"thewoodsidedeli.com","$205",GoDaddy
"reframehealthcare.org","$205",GoDaddy
"ravendays.org","$205",Namecheap
"raincityjewellers.com","$205",GoDaddy
"pikashows.com","$205",Namecheap
"phippsinn.com","$205",GoDaddy
"newlifeblogs.com","$205",GoDaddy
"motorcomcom.com","$205",Namecheap
"miyasjewels.com","$205",Namecheap
"megaboxhd.com","$205",GoDaddy
"lovecannabisco.com","$205",GoDaddy
"larryweltmantoronto.com","$205",Namecheap
"greenenergyjournals.com","$205",GoDaddy
"grafeas.org","$205",Namecheap
"eastsidejournal.com","$205",GoDaddy
"dwaynebuzzell.com","$205",GoDaddy
"domaineduvalbrun.com","$205",Namecheap
"streetstrong.com","$204",GoDaddy
"arbuzcafeny.com","$203",GoDaddy
"letsgoadventures.com","$201",GoDaddy
"brewboys.com","$201",GoDaddy
"bbdsoft.com","$201",DropCatch
"sportvoice.com","$200",DropCatch
"creditbrains.com","$200",GoDaddy
"chasuble.com","$200",DropCatch
"bewe.org","$200",GoDaddy
"anatagames.com","$200",Namecheap
"hdxz.com","$198",GoDaddy
"cracksway.com","$195",Namecheap
"chargeez.com","$195",GoDaddy
"sarahhorne.com","$194",GoDaddy
"jdimports.com","$191",GoDaddy
"infofax.com","$190",GoDaddy
"shannonkennedy.com","$186",GoDaddy
"roseandthornarmory.com","$185",GoDaddy
"bigvicsbbq.com","$185",GoDaddy
"pronae.com","$184",DropCatch
"climacraft.com","$184",DropCatch
"battlefocus.com","$175",GoDaddy
"portridge.com","$174",DropCatch
"okreview.com","$174",DropCatch
"roofrepair.co","$172",GoDaddy
"dishub-pemkomedan.id","$171",Namecheap
"sketchesart.com","$170",GoDaddy
"mivina.com","$170",DropCatch
"askina.com","$170",Namecheap
"winenatural.com","$168",GoDaddy
"taitunglightfestival.com","$165",GoDaddy
"qualitycoffee.cl","$165","Catched.com"
"invictacoffee.com","$165",GoDaddy
"caseweb.org","$165",GoDaddy
"buynightfood.com","$165",GoDaddy
"bullnoseusa.com","$165",GoDaddy
"80048.com","$163",GoDaddy
"homerecoverysolutions.com","$162",GoDaddy
"heavensbestwarrenton.com","$162",GoDaddy
"seekfund.com","$161",GoDaddy
"foodiblesindia.com","$161",GoDaddy
"cubicool.com","$161",GoDaddy
"asterin.com","$161",DropCatch
"kultivariy.com","$160",DropCatch
"holaholatravel.com","$160",Namecheap
"acerugs.com","$160",GoDaddy
"boldscapes.com","$158",GoDaddy
"index-traders.com","$157",Dynadot
"thevisioncoaching.com","$155",GoDaddy
"premio.org","$155",Namecheap
"porkrollpalooza.org","$155",Namecheap
"onlinecollegefinder.com","$155",GoDaddy
"menatworkcarcarecenter.com","$155",GoDaddy
"mandmgamestore.com","$155",Namecheap
"legionofdeathrecords.com","$155",Namecheap
"kyrathomsen.com","$155",GoDaddy
"jeffersonsmithforhouston.com","$155",GoDaddy
"imbrialeinjury.com","$155",GoDaddy
"hexagrourbanfarming.com","$155",GoDaddy
"healthyhomeplans.com","$155",GoDaddy
"greenbrookracing.com","$155",GoDaddy
"greatwoksecaucus.com","$155",GoDaddy
"bigscreenanimation.com","$155",GoDaddy
"mewse.com","$151",GoDaddy
"bluemountainair.com","$151",GoDaddy
"xxx4hindi.com","$150",Namecheap
"saschristian.com","$150",GoDaddy
"primewav.com","$150",GoDaddy
"homepro.co.com","$150",Namecheap
"hermes.mex.com","$150",Namecheap
"geoplan.gr.com","$150",Namecheap
"autobard.com","$150",DropCatch
"dotamed.com","$146",GoDaddy
"tourpedia.id","$145","Catched.com"
"interlight.gr.com","$145",Namecheap
"fastlatch.com","$145",GoDaddy
"autoinsurance.ru.com","$145","Sav.com"
"the4thfloor.com","$144",DropCatch
"longhardride.com","$144",GoDaddy
"justfa.com","$144",DropCatch
"holosushirestaurant.com","$144",Namecheap
"traveltoromania.com","$143",Namecheap
"salsa4u.com","$141",GoDaddy
"neandertaler.com","$141",GoDaddy
"exceptionaldesigns.com","$141",Namecheap
"cheaptimeshare.com","$141",GoDaddy
"badenmedia.com","$141",GoDaddy
"necoarcsol.com","$140",Namecheap
"lzwr.com","$140",GoDaddy
"creammarketing.com","$140",DropCatch
"satoshi.market","$138",Namecheap
"installhealth.com","$136",GoDaddy
"salveloscitricos.org","$135",GoDaddy
"pashkowellness.com","$135",GoDaddy
"oatao.com","$135",GoDaddy
"neuronetonline.com","$135",GoDaddy
"lilsnippers.com","$135",GoDaddy
"lavagm.com","$135",Namecheap
"horsecommunity.com","$134",DropCatch
"bottomlinerealestate.com","$134",GoDaddy
"r1000r.com","$133",GoDaddy
"subwoofermania.com","$131",GoDaddy
"allininfo.com","$131",GoDaddy
"wfeh.org","$130",Namecheap
"southernrelief.com","$130",GoDaddy
"shinesign.com","$130",GoDaddy
"raidersvegas.com","$130",GoDaddy
"petgazette-pets.com","$130",GoDaddy
"mbsablanrealty.com","$130",GoDaddy
"everylasthouseplan.com","$130",GoDaddy
"eorra.com","$130",GoDaddy
"commongames.com","$130",GoDaddy
"beautycarousel.com","$130",GoDaddy
"aaron-pritchett.com","$130",GoDaddy
"visamentor.com","$126",GoDaddy
"pogfi.com","$126",GoDaddy
"portalschools.org","$125",GoDaddy
"huhu178.com","$125",Dynadot
"cavemancoffeecavesf.com","$125",GoDaddy
"abitnetwork.com","$125",GoDaddy
"proamar.com","$124",DropCatch
"connectirl.com","$124",DropCatch
"employga.com","$122",GoDaddy
"gotgoldens.com","$121",GoDaddy
"everydayguest.com","$120",DropCatch
"chinawigs.com","$120",GoDaddy
"checkyourdrinking.net","$120",DropCatch
"galleywest.com","$118",GoDaddy
"continel.com","$117",DropCatch
"startgrowupstate.com","$116",Dynadot
"jrbbk.com","$116",Namecheap
"drwritemyessay.com","$116",Namecheap
"apkepic.com","$116",Namecheap
"gvattorney.com","$115",GoDaddy
"coupfourandahalf.com","$115",GoDaddy
"cardealerintown.com","$115",GoDaddy
"soilgen.com","$114",DropCatch
"conallen.com","$114",DropCatch
"cafenica.com","$114",DropCatch
"rebeccamariondesign.com","$113",Namecheap
"marylandbernedoodles.com","$113",GoDaddy
"akeero.com","$112",DropCatch
"athletenames.com","$111",GoDaddy
"unr-npdc.org","$110",DropCatch
"mnitem.org","$110",GoDaddy
"hilarywatson.com","$110",DropCatch
"247.now","$110","Atom.com"
"prayerparadise.org","$106",Namecheap
"miataclubofsouthwestflorida.com","$106",GoDaddy
"wildflowerstudiobtv.com","$105",GoDaddy
"westwaterpark.net","$105",GoDaddy
"truecinemas.com","$105",GoDaddy
"techniya.com","$105",GoDaddy
"sunandserenity.com","$105",GoDaddy
"springgenerator.com","$105",GoDaddy
"sp-code.com","$105",GoDaddy
"pvsec-35.com","$105",GoDaddy
"postitguy.com","$105",GoDaddy
"popcorn-hour-fr.com","$105",Dynadot
"passportsrestaurant.com","$105",GoDaddy
"napolispizza.net","$105",GoDaddy
"mitzismiscellany.com","$105",GoDaddy
"kingautoplex.com","$105",GoDaddy
"irajimmy.com","$105",GoDaddy
"golibertyhvac.com","$105",GoDaddy
"floxim.com","$105",GoDaddy
"ferail.com","$105",GoDaddy
"elegantaffairseventspace.com","$105",GoDaddy
"cityclaims.com","$105",GoDaddy
"byjess.net","$105",GoDaddy
"bricecapital.com","$105",GoDaddy
"bonuscast.com","$105",GoDaddy
"alupkame.info","$105",GoDaddy
"americanworkbench.com","$104",GoDaddy
"thismachinegreens.com","$103",Namecheap
"suishin-sushi.com","$103",Namecheap
"safarisupremacy.com","$103",Namecheap
"ores.org","$103",Namecheap
"ivanawilliamsarmory.com","$103",GoDaddy
"ihanow.com","$103",GoDaddy
"writtenbywaylon.com","$102",Namecheap
"sliderm.com","$102",Dynadot
"wordcraftcircle.org","$101",Dynadot
"jbella.com","$101",GoDaddy
"gamefi.us","$101","Sav.com"
"starneeds.com","$100",GoDaddy
"proxwin.com","$100",DropCatch
"paulbertinparis.com","$100",GoDaddy
"neuroia.com","$100",DropCatch
"kmfusa.org","$100",Namecheap
"jetpure.com","$100",GoDaddy
"fraudhunt.com","$100","Sav.com"
"familyplaner.com","$100",DropCatch
"confidentialstaffingservices.com","$100",GoDaddy
"bookanastasiadoll.com","$100",GoDaddy
"aquadroom-wellness.be","$100","Catched.com"